Molecule,Comparison,0,1,2,3
Mol1,Mol1_0:Mol1_1:Mol1_2:Mol1_3,0.8150387558697454,0.5857320110253544,0.3577939604815459,0.8045523655107141
Mol10,Mol10_0:Mol10_1:Mol10_2:Mol10_3,0.8897784296010621,0.7425423496321512,0.6883101290697278,0.7584609772843082
Mol11,Mol11_0:Mol11_1:Mol11_2:Mol11_3,0.9113753182742541,0.8842234614165247,0.8462611016036321,0.7204139924442962
Mol12,Mol12_0:Mol12_1:Mol12_2:Mol12_3,0.8425843065378074,0.8869888471046837,0.4249740871584079,0.7914847940469845
Mol13,Mol13_0:Mol13_1:Mol13_2,0.6158207580741586,0.4640083450874577,0.5722188166139413,
Mol14,Mol14_0:Mol14_1:Mol14_2:Mol14_3,0.8708171328037797,0.8729099686535507,0.6477649489601754,0.8740014046392413
Mol15,Mol15_0:Mol15_1:Mol15_2,0.8175708506207838,0.6571979537010308,0.6252803685013659,
Mol16,Mol16_0:Mol16_1:Mol16_2:Mol16_3,0.7780824564741773,0.8044154153731676,0.8409093297919746,0.7612045375623803
Mol17,Mol17_0:Mol17_1:Mol17_2,0.8150264034095841,0.5937680967834735,0.4316298375152239,
Mol18,Mol18_0:Mol18_1:Mol18_2:Mol18_3,0.7966756192703416,0.5931992084644195,0.7118532866097173,0.8373796229493135
Mol19,Mol19_0:Mol19_2:Mol19_3,0.7895572337165084,0.7835049421464745,0.7962042542418981,
Mol2,Mol2_0:Mol2_1:Mol2_2,0.7353868656691207,0.6506076138847973,0.6186705570506786,
Mol20,Mol20_0:Mol20_1:Mol20_2,0.9245989580485634,0.8937188782055717,0.913236444956675,
Mol21,Mol21_0:Mol21_1:Mol21_2:Mol21_3,0.8503572787642167,0.8066485491605002,0.7611536099672853,0.7730559723363296
Mol22,Mol22_0:Mol22_1:Mol22_2,0.9196107342044568,0.7610659355189968,0.9272992774936955,
Mol23,Mol23_0:Mol23_1:Mol23_2,0.7960367657678054,0.7831182272338194,0.7086933247917011,
Mol25,Mol25_0:Mol25_1:Mol25_2:Mol25_3,0.8556829126002333,0.801888651768623,0.6475486111973523,0.7518668006054761
Mol26,Mol26_0:Mol26_1:Mol26_2,0.8458822566962786,0.8413935809517923,0.8501962749277844,
Mol27,Mol27_0:Mol27_1:Mol27_2,0.7642845105249285,0.7539209765155742,0.6545581826033909,
Mol28,Mol28_0:Mol28_1:Mol28_2,0.8029319344078704,0.6012718082819866,0.7893072100301264,
Mol29,Mol29_0:Mol29_1:Mol29_2,0.9348147812720417,0.9376525212869663,0.872568246841569,
Mol3,Mol3_0:Mol3_1:Mol3_2:Mol3_3,0.5931962229854321,0.7001848769949558,0.6083827797429733,0.4448087870088168
Mol30,Mol30_0:Mol30_1:Mol30_2,0.951774947356442,0.8957834493110742,0.9467719139234557,
Mol31,Mol31_0:Mol31_1:Mol31_2:Mol31_3,0.851853972528509,0.8000990578995294,0.18482598406016587,0.8370722297283064
Mol32,Mol32_0:Mol32_1:Mol32_2,0.8403267948263852,0.8433968334105088,0.8522466592435445,
Mol33,Mol33_0:Mol33_1:Mol33_2,0.7031494272168642,0.6640287010947655,0.6842646436512961,
Mol34,Mol34_0:Mol34_1:Mol34_2,0.7533357261610606,0.716577538058005,0.6487344012652653,
Mol35,Mol35_0:Mol35_1:Mol35_2,0.7507200208207758,0.8240135792072708,0.6692352488198285,
Mol36,Mol36_0:Mol36_1:Mol36_2:Mol36_3,0.885784929887771,0.8821571698484912,0.845348933390292,0.8298976723681739
Mol37,Mol37_0:Mol37_3:Mol37_4,0.8357071694512248,0.8210458186630558,0.7344279359903884,
Mol38,Mol38_0:Mol38_1:Mol38_2,0.8756238680234146,0.8097261786116581,0.8020395257773633,
Mol39,Mol39_0:Mol39_1:Mol39_2,0.7438834867909219,0.640099637956183,0.5931669727241295,
Mol4,Mol4_0:Mol4_1:Mol4_2:Mol4_3,0.7484568872331488,0.6921515703828617,0.7489899623702891,0.5622368133387068
Mol40,Mol40_0:Mol40_1:Mol40_2,0.8955159576741799,0.4466977572999604,0.906450528541849,
Mol41,Mol41_0:Mol41_1:Mol41_2,0.7888541576416348,0.5082124556003339,0.598284048859551,
Mol42,Mol42_0:Mol42_1:Mol42_2,0.7107158000152287,0.6747307983014958,0.7295387156859967,
Mol43,Mol43_0:Mol43_1:Mol43_2:Mol43_3,0.873891366739811,0.8317396537299602,0.6901164846853153,0.8555576301070633
Mol5,Mol5_0:Mol5_1:Mol5_2,0.7982003301876822,0.7216366425646485,0.6263839694374145,
Mol6,Mol6_0:Mol6_1:Mol6_2:Mol6_3,0.8657659984859714,0.8810489925740074,0.76473790711492,0.5875063282394137
Mol7,Mol7_0:Mol7_1:Mol7_2,0.6145353010902016,0.6305498411197398,0.6689725169508027,
Mol8,Mol8_0:Mol8_1:Mol8_2,0.7669725514937974,0.7269697304983636,0.6458253610346006,
Mol9,Mol9_0:Mol9_1:Mol9_2,0.7900067680719272,0.5641720070158456,0.5969838820924269,
