Molecule,Comparison,0,1,2,3
Mol1,Mol1_0:Mol1_1:Mol1_2:Mol1_3,0.7882589529183642,0.578324103681629,0.35555083479837973,0.7574056184369812
Mol10,Mol10_0:Mol10_1:Mol10_2:Mol10_3,0.8299256942815489,0.7891243879630899,0.5943963615978894,0.8291667519861277
Mol11,Mol11_0:Mol11_1:Mol11_2:Mol11_3,0.8602042860173609,0.846971831487375,0.7505341792077601,0.6486402229784656
Mol12,Mol12_0:Mol12_1:Mol12_2:Mol12_3,0.8007060116025335,0.7748908990879562,0.35580560601404587,0.7950843666381582
Mol13,Mol13_0:Mol13_1:Mol13_2,0.537175597737337,0.4439847179737276,0.702732965135519,
Mol14,Mol14_0:Mol14_1:Mol14_2:Mol14_3,0.8395347658871133,0.8007487335695095,0.5844665498958675,0.8168437855285591
Mol15,Mol15_0:Mol15_1:Mol15_2,0.751294808042519,0.5863472387937756,0.5874027519961821,
Mol16,Mol16_0:Mol16_1:Mol16_2:Mol16_3,0.6384938764880627,0.589159224970531,0.6919896408433457,0.6656682021499184
Mol17,Mol17_0:Mol17_1:Mol17_2,0.7557575572918306,0.5270401210913839,0.3639522179116609,
Mol18,Mol18_0:Mol18_1:Mol18_2:Mol18_3,0.6251972969334236,0.5970410490597561,0.6533566981755671,0.6735848605232687
Mol19,Mol19_0:Mol19_2:Mol19_3,0.7038633698963743,0.6803261010611787,0.7060380763924088,
Mol2,Mol2_0:Mol2_1:Mol2_2,0.6691040889869353,0.5866304321917201,0.5339583752266964,
Mol20,Mol20_0:Mol20_1:Mol20_2,0.8726448643789145,0.8740705280081107,0.8825560501083402,
Mol21,Mol21_0:Mol21_1:Mol21_2:Mol21_3,0.8270626724831146,0.7200493470377267,0.7580171696758495,0.718725007415249
Mol22,Mol22_0:Mol22_1:Mol22_2,0.8249931144793604,0.7135410046578436,0.8464042731913031,
Mol23,Mol23_0:Mol23_1:Mol23_2,0.5622303805497418,0.5622783350126954,0.613046752962745,
Mol25,Mol25_0:Mol25_1:Mol25_2:Mol25_3,0.8051080858725944,0.7293154428192511,0.6419934652241266,0.5252330042996504
Mol26,Mol26_0:Mol26_1:Mol26_2,0.7968450409590571,0.8052184561151614,0.8112722179021026,
Mol27,Mol27_0:Mol27_1:Mol27_2,0.675063993162881,0.6778695955652351,0.5619446501161536,
Mol28,Mol28_0:Mol28_1:Mol28_2,0.8030260120445311,0.6403540016693146,0.8121804120790075,
Mol29,Mol29_0:Mol29_1:Mol29_2,0.7874729502670244,0.8060484895260032,0.734742322206941,
Mol3,Mol3_0:Mol3_1:Mol3_2:Mol3_3,0.42455040742659717,0.4768097800648967,0.6702734588063429,0.48943546407421173
Mol30,Mol30_0:Mol30_1:Mol30_2,0.9022399380285363,0.8321724935139272,0.895644261503884,
Mol31,Mol31_0:Mol31_1:Mol31_2:Mol31_3,0.7697538483940767,0.7211647738786054,0.23978682042148838,0.7684788196960659
Mol32,Mol32_0:Mol32_1:Mol32_2,0.7180503667211263,0.7318049394601402,0.7160394386406481,
Mol33,Mol33_0:Mol33_1:Mol33_2,0.7051148583493949,0.5802220356414963,0.6190077303816127,
Mol34,Mol34_0:Mol34_1:Mol34_2,0.7854586050405802,0.7578178168579921,0.6332638084897741,
Mol35,Mol35_0:Mol35_1:Mol35_2,0.7302844332144275,0.7352980711766771,0.6170226186661485,
Mol36,Mol36_0:Mol36_1:Mol36_2:Mol36_3,0.8362196440866694,0.820279881849377,0.7472944173391969,0.7157461736323393
Mol37,Mol37_0:Mol37_3:Mol37_4,0.7572539341569843,0.7513578328779417,0.7692273946006611,
Mol38,Mol38_0:Mol38_1:Mol38_2,0.7530279108063892,0.6753629189548869,0.6807053873655994,
Mol39,Mol39_0:Mol39_1:Mol39_2,0.7241915628828566,0.6878377155272272,0.5808921532700654,
Mol4,Mol4_0:Mol4_1:Mol4_2:Mol4_3,0.7640772959933478,0.6632615996149444,0.7704752098397337,0.5287873609959872
Mol40,Mol40_0:Mol40_1:Mol40_2,0.8342430313590329,0.35439397442716464,0.8203734966639453,
Mol41,Mol41_0:Mol41_1:Mol41_2,0.6449929957229871,0.44457361308614723,0.48854209870917975,
Mol42,Mol42_0:Mol42_1:Mol42_2,0.7068765963722967,0.6133339537308602,0.6509214819977508,
Mol43,Mol43_0:Mol43_1:Mol43_2:Mol43_3,0.8903071963720045,0.9218879110725827,0.9034646644552936,0.8254134078707922
Mol5,Mol5_0:Mol5_1:Mol5_2,0.7527031243210692,0.6900978196143396,0.6423826648632772,
Mol6,Mol6_0:Mol6_1:Mol6_2:Mol6_3,0.6709100670646588,0.7220082338274325,0.6812184336481386,0.540131006653292
Mol7,Mol7_0:Mol7_1:Mol7_2,0.6451894239562377,0.6278744128787803,0.5744434170981542,
Mol8,Mol8_0:Mol8_1:Mol8_2,0.6765956671853038,0.5886360857840887,0.5706651635822887,
Mol9,Mol9_0:Mol9_1:Mol9_2,0.5643300090701305,0.47324248522435924,0.5791781028943219,
